,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,1552594104,100,-23.12,-134.97,75.44,18.75
1,Castro,20,CL,1552590000,59,-42.48,-73.76,62.6,8.05
2,Grand Gaube,20,MU,1552593844,83,-20.01,57.66,77.0,2.24
3,Avarua,64,CK,1552591800,74,-21.21,-159.78,82.4,18.34
4,Tuktoyaktuk,90,CA,1552590000,75,69.44,-133.03,-13.01,21.92
5,Kodiak,90,US,1552594104,98,39.95,-94.76,39.99,20.8
6,Kapaa,75,US,1552594099,65,22.08,-159.32,78.8,9.17
7,Puerto Ayora,0,EC,1552593812,69,-0.74,-90.35,82.4,11.41
8,Natchitoches,90,US,1552593959,38,31.76,-93.09,77.0,12.75
9,Quatre Cocos,20,MU,1552593844,83,-20.21,57.76,77.0,2.24
10,Lavrentiya,68,RU,1552594106,99,65.58,-170.99,20.9,28.03
11,Hilo,90,US,1552594049,73,19.71,-155.08,75.0,3.36
12,Lebu,0,ET,1552594106,69,8.96,38.73,53.12,6.22
13,Araouane,0,ML,1552594067,21,18.9,-3.53,65.36,7.11
14,New Norfolk,75,AU,1552594094,71,-42.78,147.06,55.4,5.82
15,Shimoda,0,JP,1552593911,74,34.7,138.93,37.0,4.0
16,Cape Town,0,ZA,1552593964,68,-33.93,18.42,73.99,9.17
17,Hualmay,12,PE,1552594107,64,-11.1,-77.61,78.95,4.32
18,Poltavka,0,RU,1552594107,88,54.36,71.76,36.02,12.26
19,Punta Arenas,75,CL,1552593793,55,-53.16,-70.91,60.8,17.22
20,Vila Velha,40,BR,1552594091,78,-3.71,-38.6,82.4,6.93
21,Mar del Plata,92,AR,1552594107,94,-46.43,-67.52,55.87,13.38
22,Morros,75,BR,1552593600,78,-2.87,-44.04,82.4,10.29
23,Zhezkazgan,90,KZ,1552590000,93,47.8,67.71,35.6,17.9
24,Adana,40,TR,1552593000,93,37.0,35.33,54.0,4.7
25,Nyimba,48,ZM,1552594108,51,-14.56,30.81,79.72,4.43
26,Kondinskoye,92,RU,1552594108,93,59.65,67.41,28.46,13.82
27,Qaanaaq,24,GL,1552594108,100,77.48,-69.36,-12.09,8.01
28,Talnakh,48,RU,1552594108,86,69.49,88.39,4.16,11.25
29,Buraydah,75,SA,1552590000,55,26.33,43.97,64.4,12.75
30,San Policarpo,0,PH,1552594108,96,12.18,125.51,75.4,6.44
31,Hermanus,0,ZA,1552593794,84,-34.42,19.24,73.99,7.0
32,Bathsheba,40,BB,1552590000,62,13.22,-59.52,84.2,18.34
33,Busselton,0,AU,1552594077,45,-33.64,115.35,64.0,11.81
34,Half Moon Bay,1,US,1552594103,25,37.46,-122.43,66.0,14.99
35,Ormond Beach,1,US,1552594099,57,29.29,-81.06,86.0,12.75
36,Tasiilaq,90,GL,1552589400,85,65.61,-37.64,24.8,4.7
37,Albany,1,US,1552594043,55,42.65,-73.75,57.99,12.75
38,Muros,40,ES,1552594054,75,42.77,-9.06,54.0,5.82
39,Lorengau,24,PG,1552594110,100,-2.02,147.27,82.37,16.06
40,Staroutkinsk,80,RU,1552594110,85,57.23,59.33,25.54,10.8
41,Berlevag,40,NO,1552589400,73,70.86,29.09,24.8,19.46
42,Te Anau,8,NZ,1552594110,92,-45.41,167.72,45.34,3.53
43,Lodja,24,CD,1552594110,84,-3.52,23.6,76.3,0.63
44,Faanui,32,PF,1552594111,100,-16.48,-151.75,82.15,9.01
45,Bredasdorp,64,ZA,1552593794,88,-34.53,20.04,69.8,9.17
46,Mahebourg,20,MU,1552593844,83,-20.41,57.7,77.0,2.24
47,Torres,44,BR,1552593993,92,-29.34,-49.73,74.99,3.98
48,Two Hills,0,CA,1552594111,99,53.71,-111.75,30.04,4.43
49,Narsaq,75,GL,1552589400,73,60.91,-46.05,21.2,8.05
50,Saint-Philippe,90,CA,1552594096,89,45.36,-73.48,48.0,6.93
51,Mataura,0,NZ,1552593609,92,-46.19,168.86,43.0,1.01
52,Goundi,24,TD,1552594112,24,9.36,17.37,80.03,5.44
53,East London,75,ZA,1552590000,100,-33.02,27.91,66.2,3.36
54,Nome,90,US,1552594105,29,30.04,-94.42,77.0,12.75
55,Vaini,0,IN,1552594112,71,15.34,74.49,66.85,2.19
56,Dikson,80,RU,1552594112,100,73.51,80.55,4.97,18.19
57,Aklavik,75,CA,1552592400,77,68.22,-135.01,-0.41,11.41
58,Sambava,64,MG,1552594113,100,-14.27,50.17,79.54,11.81
59,Fortuna,0,ES,1552594112,58,38.18,-1.13,57.2,1.12
60,Port Hardy,90,CA,1552590000,81,50.7,-127.42,44.6,11.41
61,Lima,0,PE,1552593727,58,-12.06,-77.04,82.4,9.17
62,Bluff,20,AU,1552594113,85,-23.58,149.07,72.38,5.77
63,Arona,0,IT,1552594084,79,45.76,8.56,57.2,10.29
64,Calabozo,32,VE,1552594114,34,8.92,-67.43,96.86,14.61
65,Atuona,68,PF,1552594114,100,-9.8,-139.03,80.66,13.27
66,Nyurba,88,RU,1552594114,74,63.29,118.35,11.54,5.1
67,Bodden Town,20,KY,1552593604,66,19.28,-81.25,84.2,16.11
68,Norman Wells,75,CA,1552590000,71,65.28,-126.83,5.0,3.36
69,Murgab,0,TM,1552590000,67,37.5,61.97,57.2,2.75
70,Ushuaia,0,AR,1552590000,51,-54.81,-68.31,59.0,8.05
71,Cherskiy,36,RU,1552594114,71,68.75,161.3,-24.06,2.08
72,Barrow,20,AR,1552594115,69,-38.31,-60.23,70.54,13.27
73,Shingu,0,JP,1552594115,100,33.72,135.99,47.32,6.67
74,Hanzhong,64,CN,1552594115,83,33.08,107.03,35.57,2.08
75,San Cristobal,75,EC,1552593691,56,-0.39,-78.55,69.8,16.11
76,Nikolskoye,40,RU,1552594023,90,59.7,30.79,33.01,13.42
77,Hithadhoo,0,MV,1552594105,100,-0.6,73.08,83.27,1.19
78,Avera,40,US,1552594095,53,33.19,-82.53,78.8,10.29
79,Kudahuvadhoo,76,MV,1552594105,99,2.67,72.89,84.8,5.21
80,Port Alfred,88,ZA,1552593891,95,-33.59,26.89,66.0,5.1
81,Georgetown,75,GY,1552590000,62,6.8,-58.16,89.6,9.17
82,Cockburn Town,8,TC,1552594116,100,21.46,-71.14,77.24,17.85
83,Hambantota,24,LK,1552594117,100,6.12,81.12,79.27,11.03
84,Saldanha,0,PT,1552594117,77,41.42,-6.55,38.5,3.09
85,Alice Springs,20,AU,1552591800,23,-23.7,133.88,73.4,3.36
86,Dzhebariki-Khaya,64,RU,1552594117,79,62.22,135.8,6.05,2.86
87,Sitka,48,US,1552593690,52,37.17,-99.65,44.01,21.99
88,Mount Isa,0,AU,1552591800,21,-20.73,139.49,80.6,10.29
89,Kavieng,56,PG,1552594117,100,-2.57,150.8,78.5,6.55
90,Auki,0,NG,1552594118,27,12.18,6.51,77.42,8.01
91,Husavik,80,CA,1552593911,69,50.56,-96.99,32.0,11.99
92,Necochea,64,AR,1552594090,85,-38.55,-58.74,73.0,4.0
93,Sao Miguel do Araguaia,0,BR,1552594118,84,-13.28,-50.16,86.47,2.86
94,Carnarvon,88,ZA,1552594118,57,-30.97,22.13,67.61,6.67
95,Honiara,20,SB,1552594118,90,-9.43,159.96,78.14,3.09
96,Codrington,0,AU,1552593857,93,-28.95,153.24,68.0,3.09
97,Juba,92,EE,1552594096,86,57.82,26.93,37.99,10.29
98,Rabo de Peixe,75,PT,1552594113,67,37.8,-25.58,59.0,9.17
99,Severo-Kurilsk,48,RU,1552594119,100,50.68,156.12,25.9,4.32
100,Leningradskiy,24,RU,1552594119,89,69.38,178.42,-15.01,6.89
101,Lengshuijiang,92,CN,1552594119,92,27.66,111.45,51.5,2.53
102,Koumac,12,NC,1552594119,88,-20.56,164.28,77.6,3.87
103,Ampanihy,0,MG,1552594119,74,-24.69,44.75,70.45,11.92
104,Chokurdakh,68,RU,1552594119,49,70.62,147.9,-16.81,3.09
105,Letka,20,BA,1552590000,39,43.74,17.27,48.2,5.82
106,Guerrero Negro,0,MX,1552594012,61,27.97,-114.04,66.62,19.08
107,Haines Junction,0,CA,1552594120,74,60.75,-137.51,27.83,5.32
108,Erzincan,75,TR,1552589400,75,39.75,39.49,41.0,5.82
109,Katsuura,20,JP,1552593070,74,33.93,134.5,37.4,9.17
110,Sola,88,FI,1552594028,89,62.78,29.36,30.99,4.0
111,Sorland,20,NO,1552591200,85,67.67,12.69,32.0,8.05
112,Cidreira,0,BR,1552594121,73,-30.17,-50.22,75.85,9.24
113,Okakarara,12,NA,1552594121,63,-20.59,17.46,69.86,3.53
114,Tres Arroyos,20,AR,1552594121,69,-38.38,-60.28,70.54,13.27
115,Hofn,56,IS,1552594121,100,64.25,-15.21,36.97,19.08
116,Parauna,20,ID,1552594121,93,-3.82,122.09,67.57,1.97
117,Yellowknife,20,CA,1552593770,66,62.45,-114.38,14.0,14.99
118,Hobart,75,AU,1552594041,71,-42.88,147.33,55.4,5.82
119,San Patricio,0,PY,1552594121,68,-26.98,-56.83,79.67,3.42
120,Anapskaya,44,RU,1552591800,93,44.9,37.38,39.2,8.95
121,Jamestown,0,AU,1552594030,80,-33.21,138.6,43.31,4.43
122,Arraial do Cabo,40,BR,1552590000,79,-22.97,-42.02,89.6,17.22
123,Havoysund,75,NO,1552591200,73,71.0,24.66,26.6,14.99
124,Butaritari,76,KI,1552594122,100,3.07,172.79,80.57,10.25
125,Pisco,0,PE,1552590000,30,-13.71,-76.2,71.6,18.34
126,Esperance,40,TT,1552593613,55,10.24,-61.45,87.8,16.11
127,Jeremie,88,HT,1552594123,100,18.65,-74.12,76.97,1.19
128,Laguna,75,MX,1552588800,31,27.52,-110.01,75.2,8.05
129,Lasa,40,CY,1552593653,77,34.92,32.53,60.8,10.29
130,Aksarka,0,RU,1552594123,70,66.56,67.8,4.3,11.03
131,Sain Alto,0,MX,1552594124,20,23.58,-103.25,75.53,13.38
132,Havre-Saint-Pierre,90,CA,1552590000,97,50.23,-63.6,32.0,5.82
133,Mezhdurechensk,8,RU,1552594124,62,53.69,88.07,14.69,2.19
134,Rosetown,0,CA,1552593789,70,51.55,-107.99,37.99,4.0
135,Vestmanna,92,FO,1552593000,93,62.16,-7.17,35.6,4.43
136,Luderitz,12,NA,1552594124,90,-26.65,15.16,60.95,13.04
137,Mastic Beach,1,US,1552593958,70,40.77,-72.85,55.0,9.17
138,Worthington,90,US,1552593931,96,43.62,-95.6,33.8,33.33
139,Vilyuysk,44,RU,1552594124,74,63.75,121.63,-3.27,3.65
140,Pangnirtung,20,CA,1552590000,69,66.15,-65.72,-13.01,3.36
141,Prykolotne,64,UA,1552594125,81,50.16,37.35,28.42,10.69
142,Mehamn,0,NO,1552589400,73,71.03,27.85,26.6,24.16
143,Oum Hadjer,0,TD,1552594125,16,13.3,19.7,79.94,12.93
144,Lumphat,80,KH,1552594125,72,13.5,106.97,77.47,1.74
145,Ilulissat,75,GL,1552589400,65,69.22,-51.1,3.2,8.05
146,Darhan,12,MN,1552594125,52,49.49,105.92,29.63,6.22
147,Ribeira Grande,40,PT,1552591800,67,38.52,-28.7,60.8,12.75
148,Jalu,0,LY,1552594126,46,29.03,21.55,51.41,2.86
149,Morwell,0,AU,1552593604,92,-38.24,146.4,51.01,1.41
150,Maragogi,68,BR,1552594126,90,-9.01,-35.22,80.12,8.12
151,Tahoua,0,NE,1552594126,26,14.89,5.26,78.32,7.78
152,High Level,40,CA,1552590000,68,58.52,-117.13,26.6,11.41
153,Ponta do Sol,24,BR,1552594126,88,-20.63,-46.0,76.16,2.19
154,Bethel,75,US,1552593360,92,60.79,-161.76,28.4,13.87
155,Coihaique,40,CL,1552590000,37,-45.58,-72.07,66.2,9.17
156,Hasaki,0,JP,1552593875,100,35.73,140.83,32.0,4.7
157,Lynchburg,1,US,1552593676,49,37.41,-79.14,73.99,10.29
158,San Francisco,1,US,1552593929,25,37.78,-122.42,66.0,14.99
159,Saint George,90,GR,1552591412,87,39.45,22.34,48.99,10.29
160,Biak,76,ID,1552594130,99,-0.91,122.88,77.2,3.65
161,Bambous Virieux,20,MU,1552593844,83,-20.34,57.76,77.0,2.24
162,Gejiu,88,CN,1552594130,96,23.36,103.16,52.09,2.3
163,Bom Jesus,75,BR,1552593600,79,-5.99,-35.58,84.2,6.93
164,Batagay-Alyta,44,RU,1552594131,53,67.8,130.41,-12.31,2.98
165,Gweta,0,BW,1552594131,35,-20.21,25.26,79.04,14.5
166,Kruisfontein,92,ZA,1552594131,88,-34.0,24.73,64.6,5.99
167,Oranjemund,88,ZA,1552594131,94,-28.55,16.43,63.74,7.34
168,Abu Dhabi,0,AE,1552590000,43,24.47,54.37,73.4,5.82
169,Grindavik,75,IS,1552593695,100,63.84,-22.43,37.99,8.05
170,Kahului,20,US,1552594001,69,20.89,-156.47,77.0,12.75
171,Los Llanos de Aridane,75,ES,1552593902,77,28.66,-17.92,64.4,4.7
172,Gravdal,40,NO,1552594090,100,59.79,5.78,39.0,2.24
173,Kenora,90,CA,1552593768,92,49.76,-94.48,30.2,13.87
174,Flinders,75,AU,1552594027,88,-34.58,150.85,66.0,10.29
175,Kuytun,92,RU,1552594132,77,54.34,101.51,33.82,7.23
176,Palmer,1,US,1552594121,69,61.6,-149.11,44.01,18.34
177,Upernavik,64,GL,1552594133,100,72.79,-56.15,-0.21,2.19
178,San Vicente de Canete,20,PE,1552594133,79,-13.08,-76.38,73.24,3.87
179,Port Elizabeth,1,US,1552593812,52,39.31,-74.98,72.0,10.29
180,Oistins,40,BB,1552590000,62,13.07,-59.53,84.2,18.34
181,Kisangani,44,CD,1552594133,80,0.52,25.21,75.94,1.97
182,Bonavista,24,CA,1552593700,50,48.65,-53.11,36.0,7.0
183,Eyl,92,SO,1552594134,100,7.98,49.82,77.06,10.47
184,Byron Bay,0,AU,1552593857,88,-28.65,153.62,69.8,3.76
185,Khilok,92,RU,1552594134,85,51.36,110.46,31.25,9.91
186,Opuwo,44,NA,1552594134,78,-18.06,13.84,67.3,3.76
187,Casino,0,AU,1552593857,93,-28.86,153.05,68.0,3.09
188,Turmalina,32,BR,1552594135,40,-17.29,-42.73,89.3,2.64
189,Touros,75,BR,1552593600,79,-5.2,-35.46,84.2,6.93
190,Isangel,48,VU,1552594135,100,-19.55,169.27,80.84,6.22
191,Amapa,20,HN,1552593600,39,15.09,-87.97,95.0,13.87
192,Yaan,20,NG,1552594135,54,7.38,8.57,85.84,8.57
193,Coquimbo,75,CL,1552590000,77,-29.95,-71.34,64.4,9.17
194,Ondangwa,12,NA,1552594136,52,-17.91,15.98,76.52,4.43
195,Aykhal,80,RU,1552594136,79,65.95,111.51,8.84,4.43
196,Khatanga,48,RU,1552594136,68,71.98,102.47,4.61,9.8
197,Khuzdar,0,PK,1552594136,78,27.8,66.62,37.1,2.19
198,Camacha,40,PT,1552591800,63,33.08,-16.33,60.8,12.75
199,Sal Rei,0,CV,1552594136,82,16.18,-22.92,73.82,12.15
200,Kaitangata,0,NZ,1552594065,93,-46.28,169.85,46.99,5.01
201,Imbituba,40,BR,1552593600,88,-28.24,-48.67,77.0,8.05
202,Semirom,24,IR,1552594137,79,31.41,51.57,19.73,2.42
203,Dauriya,24,RU,1552594137,64,49.93,116.85,1.6,5.66
204,Sao Filipe,0,CV,1552594137,78,14.9,-24.5,75.71,11.36
205,Buchanan,0,LR,1552594134,89,5.88,-10.05,83.77,6.89
206,Zhigansk,0,RU,1552594137,59,66.77,123.37,-12.54,2.42
207,Muyezerskiy,80,RU,1552594138,79,63.93,31.65,26.8,7.9
208,Sioux Lookout,90,CA,1552592640,84,50.1,-91.92,33.8,10.29
209,Marion,90,US,1552593910,38,35.21,-90.2,73.99,28.86
210,Margate,75,AU,1552594094,71,-43.03,147.26,55.4,5.82
211,Port Hedland,64,AU,1552591800,43,-20.31,118.58,89.6,12.75
212,Ust-Kut,88,RU,1552594139,82,56.78,105.75,27.92,6.67
213,Emerald,90,AU,1552593802,88,-23.53,148.16,77.0,8.05
214,Kozhva,0,RU,1552594139,63,65.11,57.05,0.29,1.97
215,Tarabuco,80,BO,1552594140,85,-19.18,-64.92,61.99,3.42
216,Huayucachi,92,PE,1552594140,94,-12.13,-75.23,46.46,2.08
217,Syasstroy,76,RU,1552594140,88,60.14,32.56,32.29,9.35
218,Victoria,75,BN,1552591800,88,5.28,115.24,78.8,3.36
219,Port Macquarie,90,AU,1552593845,94,-31.43,152.91,69.8,8.05
220,Geraldton,90,CA,1552591020,93,49.72,-86.95,39.2,9.17
221,Guiren,75,TW,1552593898,77,22.97,120.29,73.99,10.29
222,Nagorsk,0,RU,1552594141,77,59.32,50.8,12.53,5.88
223,Manggar,44,ID,1552594141,100,-2.88,108.27,73.6,3.65
224,Whitehorse,75,CA,1552593770,74,60.72,-135.06,36.0,10.29
225,Svetlaya,32,RU,1552594142,100,46.54,138.33,24.55,1.41
226,Trofors,75,NO,1552593000,94,65.54,13.39,37.4,3.36
227,Wanlaweyn,0,SO,1552594142,72,2.62,44.89,78.59,10.8
228,Ewa Beach,40,US,1552593938,54,21.32,-158.01,80.6,12.75
229,Corn Island,44,NI,1552594142,97,12.17,-83.04,81.25,12.82
230,Angoram,76,PG,1552594142,100,-4.06,144.07,73.69,2.08
231,Caravelas,0,BR,1552594143,100,-17.73,-39.27,83.77,18.52
232,Hirara,68,JP,1552594143,100,24.8,125.28,70.22,12.26
233,Salmas,90,IR,1552590000,100,38.2,44.77,33.8,2.24
234,Katobu,32,ID,1552594143,93,-4.94,122.53,82.24,9.46
235,Rome,0,IT,1552594084,81,41.89,12.48,53.6,4.7
236,Iqaluit,5,CA,1552593767,70,63.75,-68.52,-2.01,2.24
237,Bubaque,0,GW,1552594144,90,11.28,-15.83,80.39,9.8
238,Preobrazheniye,64,RU,1552594144,74,42.9,133.91,14.33,1.74
239,Port Augusta,0,AU,1552593528,77,-32.49,137.76,64.4,11.41
240,Harnosand,90,SE,1552593919,94,62.63,17.94,34.0,1.12
241,Candolim,0,IN,1552590000,54,15.52,73.76,78.8,9.17
242,Sangar,0,RU,1552594144,70,63.92,127.47,-6.19,2.53
243,Luocheng,88,CN,1552594145,88,28.29,114.55,50.96,2.75
244,Rio Grande,40,BR,1552593600,61,-32.03,-52.1,78.8,3.36
245,Uvinza,8,TZ,1552594145,93,-5.1,30.39,62.89,2.19
246,San Jeronimo,40,PE,1552590000,54,-13.65,-73.37,59.0,11.41
247,Mookane,64,BW,1552594145,42,-23.68,26.66,80.57,6.44
248,Tomohon,20,ID,1552591800,94,1.33,124.84,75.2,1.63
249,Kavaratti,0,IN,1552594145,100,10.57,72.64,83.27,7.78
250,San Quintin,48,PH,1552594146,84,17.54,120.52,69.37,4.54
251,Montes Claros,40,BR,1552590000,45,-16.73,-43.87,84.2,11.41
252,Ust-Kuyga,64,RU,1552594146,62,70.0,135.55,-14.11,3.09
253,Lola,20,GN,1552594146,28,7.8,-8.53,80.93,6.44
254,Fuyu,0,CN,1552594146,52,47.79,124.46,17.89,10.02
255,Thinadhoo,0,MV,1552593976,100,0.53,72.93,83.5,2.42
256,Nuevo Progreso,90,US,1552594074,49,26.05,-97.95,77.0,17.22
257,Ghanzi,0,BW,1552594147,41,-21.7,21.65,72.83,7.78
258,Atambua,92,ID,1552594147,100,-9.11,124.89,75.85,3.2
259,Ancud,20,CL,1552590000,59,-41.87,-73.83,62.6,8.05
260,Marsh Harbour,0,BS,1552593921,100,26.54,-77.06,74.32,16.28
261,Leesburg,1,US,1552593968,44,39.12,-77.56,75.2,19.46
262,Kuminskiy,92,RU,1552594147,96,58.67,66.57,29.81,11.59
263,Erenhot,0,CN,1552594147,61,43.65,111.97,9.83,3.87
264,Inongo,44,CD,1552594148,90,-1.93,18.29,79.0,3.31
265,Abilene,1,US,1552593939,26,32.45,-99.73,62.01,14.99
266,Buin,0,CL,1552593600,32,-33.73,-70.74,82.4,19.46
267,Udachnyy,56,RU,1552594148,82,66.42,112.4,10.15,4.65
268,Dingle,0,PH,1552594148,86,11.0,122.67,73.15,11.14
269,Soderhamn,32,SE,1552594027,92,61.3,17.06,32.0,3.65
270,Valentin Gomez Farias,5,MX,1552593615,13,24.05,-104.7,77.0,8.05
271,Rennes,90,FR,1552594025,100,48.11,-1.68,55.0,13.87
272,Santa Marinella,0,IT,1552593914,71,42.04,11.87,53.6,13.87
273,High Rock,75,BS,1552590000,57,26.63,-78.28,80.6,12.75
274,Broome,0,GB,1552594087,66,52.47,1.45,48.2,19.46
275,Takhli,0,TH,1552593672,82,15.26,100.34,82.0,6.78
