,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,Clyde River,75,CA,1552590000,84,70.47,-68.59,-2.21,9.17
277,Najran,0,SA,1552590000,26,17.54,44.22,82.4,11.41
278,Provideniya,44,RU,1552594150,100,64.42,-173.23,24.05,28.92
279,Kiama,75,AU,1552594027,88,-34.67,150.86,66.0,10.29
280,Cutro,20,IT,1552589400,70,39.04,16.98,53.6,13.87
281,Kibaya,40,RW,1552593774,72,-2.2,30.56,68.0,3.36
282,Souillac,75,FR,1552593977,87,45.6,-0.6,52.0,18.34
283,Shieli,68,KZ,1552594150,55,44.18,66.74,49.75,10.02
284,Itarema,76,BR,1552594150,91,-2.92,-39.92,79.9,3.98
285,Alibag,0,IN,1552591800,65,18.64,72.88,77.0,4.7
286,Kununurra,40,AU,1552591800,83,-15.77,128.74,80.6,8.05
287,Alta Floresta,40,BR,1552590000,88,-9.87,-56.08,78.8,1.12
288,Vadso,75,NO,1552593000,79,70.07,29.75,24.8,14.99
289,Burlington,90,CA,1552593989,81,43.32,-79.8,50.0,3.36
290,Vestmannaeyjar,92,IS,1552594151,100,63.44,-20.27,35.44,9.46
291,Port Lincoln,44,AU,1552594152,100,-34.72,135.86,59.29,7.67
292,Torbay,75,CA,1552593730,51,47.66,-52.73,36.0,10.29
293,Nicoya,20,CR,1552590000,30,10.15,-85.45,96.8,10.29
294,Batie,90,FR,1552594044,93,45.06,5.82,46.0,14.99
295,Naze,56,NG,1552594152,88,5.43,7.07,77.47,3.2
296,Bay Roberts,75,CA,1552594106,51,47.58,-53.28,36.0,10.29
297,Portland,75,US,1552593427,53,45.52,-122.67,55.0,3.2
298,Maniitsoq,0,GL,1552594152,90,65.42,-52.9,1.15,7.0
299,Tongliao,0,CN,1552594152,38,43.61,122.27,20.63,10.47
300,Brigantine,1,US,1552594141,45,39.41,-74.36,71.01,10.29
301,Shubarshi,0,KZ,1552594153,81,48.59,57.19,20.05,10.25
302,Pedernales,80,EC,1552594153,100,0.07,-80.05,77.33,6.11
303,Tucuman,8,PE,1552594122,65,-17.17,-70.89,70.76,3.98
304,Dillon,20,US,1552593910,63,45.22,-112.64,32.0,10.29
305,Westport,90,IE,1552594092,100,53.8,-9.52,51.01,6.93
306,Ornskoldsvik,90,SE,1552591200,96,63.29,18.72,33.8,4.7
307,Paamiut,0,GL,1552594154,100,61.99,-49.67,21.26,29.15
308,Cabo San Lucas,5,MX,1552593943,56,22.89,-109.91,78.01,4.7
309,Pevek,24,RU,1552594154,78,69.7,170.27,-25.99,1.41
310,Middelburg,0,ZA,1552594154,67,-25.77,29.46,61.49,10.47
311,Santa Marta,40,CO,1552594008,62,11.24,-74.21,87.8,4.7
312,Sivas,75,TR,1552589400,86,39.75,37.01,37.4,8.05
313,Guhagar,0,IN,1552594155,88,17.48,73.19,74.32,11.81
314,Chicama,20,PE,1552590000,78,-7.84,-79.15,77.0,8.05
315,Yar-Sale,0,RU,1552594155,68,66.83,70.83,4.97,13.49
316,Bowen,88,AU,1552594106,94,-20.01,148.25,77.0,3.36
317,Anlu,80,CN,1552594066,71,31.26,113.68,45.29,3.76
318,Comodoro Rivadavia,75,AR,1552590000,93,-45.87,-67.48,59.0,8.05
319,Daru,48,SL,1552594156,64,7.99,-10.85,82.42,6.33
320,Poum,88,MK,1552594156,95,41.28,20.71,30.8,1.07
321,Airai,64,TL,1552594156,91,-8.93,125.41,68.47,1.63
322,Pangody,0,RU,1552594156,71,65.85,74.49,3.8,11.7
323,Victoria,75,BN,1552591800,88,5.28,115.24,78.8,3.36
324,Kushima,80,JP,1552594156,100,31.5,131.29,43.09,4.43
325,Jipijapa,75,EC,1552590000,78,-1.35,-80.58,82.4,5.82
326,Monterey,1,US,1552593906,41,36.6,-121.89,64.0,8.05
327,Saint Anthony,1,US,1552593915,54,43.97,-111.68,39.0,4.7
328,Doha,0,QA,1552591800,68,25.29,51.53,69.8,14.99
329,Longyearbyen,40,NO,1552593000,65,78.22,15.63,3.2,3.36
330,Thompson,90,CA,1552590000,62,55.74,-97.86,24.8,5.82
331,Luanda,75,AO,1552590000,65,-8.83,13.24,82.4,13.87
332,Bandarbeyla,88,SO,1552594157,100,9.49,50.81,77.69,7.45
333,Cardenas,75,MX,1552593616,31,27.62,-110.24,75.99,8.05
334,Strezhevoy,75,RU,1552591800,92,60.73,77.6,28.4,8.95
335,Requena,0,ES,1552594151,67,39.49,-1.1,57.99,3.36
336,Dalvik,75,SE,1552593666,93,57.79,14.13,39.0,2.24
337,San Joaquin,0,PH,1552594158,86,10.59,122.14,73.15,11.14
338,Evensk,0,RU,1552594158,100,61.92,159.24,-4.62,5.21
339,Blythe,1,US,1552593733,13,33.61,-114.59,64.0,20.8
340,Koslan,0,RU,1552594159,71,63.46,48.9,6.41,3.53
341,Mao,20,DO,1552593943,35,19.55,-71.08,89.6,11.41
342,Daudnagar,68,IN,1552594159,77,25.03,84.4,68.78,9.69
343,Salalah,75,OM,1552589400,69,17.01,54.1,77.0,5.82
344,Dunmore East,88,IE,1552594058,87,52.15,-6.99,54.0,8.99
345,Cabedelo,20,BR,1552590000,70,-6.97,-34.84,86.0,14.99
346,Hun,88,BE,1552594151,81,50.34,4.87,48.2,10.29
347,Alihe,36,CN,1552594160,65,50.57,123.73,11.54,4.21
348,Beloha,0,MG,1552594160,78,-25.17,45.06,71.93,12.48
349,Pilar,20,AR,1552594110,57,-34.46,-58.91,81.0,4.7
350,Ishigaki,56,JP,1552594160,100,24.34,124.16,69.23,20.31
351,Barguzin,88,RU,1552594160,91,53.62,109.63,24.68,3.87
352,Gizo,40,IL,1552594033,82,31.8,34.94,60.8,16.11
353,Waitara,68,NZ,1552594066,96,-39.0,174.24,66.99,1.01
354,Koulikoro,0,ML,1552591800,12,12.86,-7.56,87.8,5.82
355,Turukhansk,56,RU,1552594161,97,65.8,87.96,12.04,6.11
356,Miraflores,68,CO,1552594162,86,5.2,-73.14,60.14,2.19
357,Dubbo,0,AU,1552591800,86,-32.25,148.6,53.6,3.36
358,Pleasanton,5,US,1552594004,31,37.66,-121.87,66.0,6.93
359,North Vernon,75,US,1552594142,77,39.01,-85.62,70.0,19.46
360,Kamenka,0,RU,1552594163,61,53.19,44.05,6.95,3.09
361,Goderich,100,CA,1552594158,81,43.74,-81.71,54.0,11.99
362,Beringovskiy,88,RU,1552594163,88,63.05,179.32,9.47,28.92
363,Saskylakh,12,RU,1552594163,57,71.97,114.09,-20.01,10.47
364,Lompoc,1,US,1552594032,31,34.64,-120.46,68.0,3.36
365,Tamandare,32,BR,1552594163,66,-8.28,-70.75,88.0,3.76
366,Glogow,92,PL,1552594069,82,51.66,16.08,45.0,14.27
367,Chuy,92,UY,1552594120,84,-33.69,-53.46,72.52,13.27
368,Komsomolskiy,0,RU,1552594164,78,67.55,63.78,6.37,8.79
369,Vila Franca do Campo,75,PT,1552594113,67,37.72,-25.43,59.0,9.17
370,Tiksi,0,RU,1552594164,65,71.64,128.87,-22.62,2.75
371,Imaculada,56,BR,1552594164,92,-7.39,-37.51,75.17,1.52
372,Rio Gallegos,40,AR,1552590000,52,-51.62,-69.22,64.4,6.93
373,Hakui,75,JP,1552593756,93,36.89,136.78,39.99,4.7
374,Kidal,8,ML,1552594164,30,18.44,1.41,79.49,6.67
375,Shahabad,76,IN,1552594165,25,17.12,76.94,85.57,5.55
376,Conakry,0,GN,1552594165,100,9.52,-13.7,80.66,8.23
377,Yulara,76,AU,1552590000,44,-25.24,130.99,78.8,3.36
378,Northam,75,GB,1552594021,93,51.04,-4.21,54.0,11.41
379,Fairbanks,40,US,1552593931,50,64.84,-147.72,41.0,6.93
380,Pierre,75,US,1552594101,74,44.37,-100.35,35.01,36.91
381,Acajutla,0,SV,1552593906,72,13.59,-89.83,82.99,1.99
382,Lethem,0,GY,1552594165,34,3.38,-59.8,96.37,13.71
383,Asyut,0,EG,1552590000,54,27.18,31.19,59.0,11.41
384,Palu,80,ID,1552594166,94,-0.9,119.87,63.2,1.86
385,Constantine,20,DZ,1552591800,81,36.36,6.61,42.8,3.36
386,Kathmandu,20,NP,1552593000,66,27.71,85.32,55.4,4.7
387,La Romana,75,DO,1552590000,70,18.43,-68.97,84.2,13.87
388,Kapit,88,MY,1552594166,98,2.02,112.94,71.84,2.08
389,Ulladulla,75,AU,1552593739,88,-35.36,150.48,64.0,10.29
390,Nchelenge,48,ZM,1552594167,90,-9.35,28.74,70.72,1.97
391,College,40,US,1552593931,50,64.86,-147.8,41.0,6.93
392,Ciudad Bolivar,56,VE,1552594167,28,8.12,-63.55,95.24,13.49
393,Midland,0,US,1552593604,29,32.0,-102.08,62.6,5.82
394,Launceston,0,AU,1552593965,100,-41.43,147.14,46.99,5.82
395,Moindou,48,NC,1552591800,94,-21.69,165.68,71.6,2.24
396,Trincomalee,12,LK,1552594167,89,8.58,81.23,73.37,6.44
397,Harper,1,US,1552594132,53,30.3,-99.24,73.0,12.75
398,Fare,64,PF,1552594168,100,-16.7,-151.02,82.1,11.25
399,Apatity,68,RU,1552594168,86,67.57,33.4,16.58,4.76
400,Umm Lajj,0,SA,1552594168,100,25.02,37.27,58.88,6.67
401,Nanortalik,0,GL,1552594042,100,60.14,-45.24,22.43,32.06
402,Port Blair,0,IN,1552594168,100,11.67,92.75,80.3,2.42
403,Sao Paulo de Olivenca,8,BR,1552594168,56,-3.38,-68.87,90.79,2.86
404,Kutum,8,SD,1552594168,25,14.2,24.66,64.15,9.91
405,Melioratorov,90,RU,1552591800,93,57.21,65.61,35.6,11.18
406,Aden,8,YE,1552593969,95,12.79,45.03,79.45,17.63
407,Marawi,24,PH,1552593717,88,8.0,124.29,73.99,4.0
408,Monteagudo,75,BO,1552590000,73,-19.8,-63.96,77.0,2.98
409,Rome,0,IT,1552594144,81,41.89,12.48,53.6,4.7
410,Ouadda,48,CF,1552594169,28,8.07,22.4,86.92,10.47
411,Xai-Xai,88,MZ,1552594169,100,-25.04,33.64,77.74,15.61
412,Freeport,75,BS,1552590000,57,26.54,-78.7,80.6,12.75
413,Sur,12,OM,1552594170,100,22.57,59.53,68.96,12.03
414,Egvekinot,76,RU,1552594170,76,66.32,-179.17,-5.02,7.0
415,Jacareacanga,40,BR,1552590000,59,-6.22,-57.76,91.4,4.7
416,Mount Gambier,90,AU,1552593360,100,-37.83,140.78,55.4,8.05
417,Churapcha,76,RU,1552594170,76,62.0,132.43,6.68,5.1
418,Puerto Escondido,5,MX,1552588800,70,15.86,-97.07,84.2,14.99
419,Tuatapere,0,NZ,1552593609,92,-46.13,167.69,43.0,1.01
420,Snasa,75,NO,1552591200,84,64.25,12.38,32.0,4.7
421,Vanavara,92,RU,1552594171,81,60.35,102.28,31.16,8.9
422,Villamontes,75,BO,1552590000,65,-21.26,-63.47,82.4,3.42
423,San Carlos,24,VE,1552594052,56,9.66,-68.59,88.58,6.67
424,Bayji,68,IQ,1552594172,96,34.93,43.49,51.05,3.2
425,Xiongzhou,0,CN,1552594167,76,32.34,118.83,55.99,6.71
426,Sandakan,75,MY,1552590000,94,5.84,118.12,73.4,4.65
427,Rakoshyno,88,UA,1552593980,68,48.47,22.6,44.01,3.0
428,Bukachacha,48,RU,1552594173,69,52.99,116.91,5.06,4.54
429,Ponta Delgada,75,PT,1552593874,67,37.73,-25.67,59.0,9.17
430,Okhotsk,76,RU,1552594174,99,59.36,143.24,7.27,3.65
431,Inhambane,92,MZ,1552594174,89,-23.87,35.38,80.66,17.29
432,Mayo,75,CA,1552590000,51,63.59,-135.9,35.6,9.17
433,Paka,0,HR,1552591800,60,45.29,18.06,39.2,6.93
434,Tocopilla,0,CL,1552594175,87,-22.09,-70.2,69.64,5.66
435,Yanam,0,IN,1552594176,81,16.73,82.22,72.47,2.98
436,Chapais,90,CA,1552590960,74,49.78,-74.86,35.6,14.99
437,Danilov,0,RU,1552591800,58,58.19,40.17,24.8,6.71
438,Rongcheng,32,CN,1552594176,77,37.16,122.42,29.36,8.34
439,Seydi,0,NE,1552594177,25,13.34,7.75,78.77,8.68
440,Klaksvik,92,FO,1552593000,93,62.23,-6.59,35.6,2.53
441,Manavalakurichi,20,IN,1552591800,74,8.13,77.3,84.2,3.36
442,Pacific Grove,1,US,1552594105,41,36.62,-121.92,64.99,8.05
443,Betera,0,ES,1552594151,67,39.58,-0.45,57.99,3.36
444,Vinh,80,VN,1552594177,98,18.67,105.69,72.83,8.57
445,Bonga,56,ET,1552594177,86,7.26,36.25,59.78,1.97
446,Bundaberg,75,AU,1552593909,88,-24.87,152.35,79.0,3.36
447,Chico,1,US,1552593929,36,39.73,-121.84,64.0,13.87
448,Inyonga,12,TZ,1552594178,92,-6.72,32.06,64.01,2.98
449,Portsmouth,0,GB,1552594160,71,50.8,-1.08,53.6,8.05
450,Honningsvag,40,NO,1552589400,73,70.98,25.97,26.6,18.34
451,Monster,20,NL,1552594146,70,52.03,4.17,48.99,14.99
452,Madera,0,US,1552594172,41,36.96,-120.06,64.0,5.82
453,Matabungkay,12,PH,1552594178,100,13.95,120.62,78.86,9.01
454,Klyuchi,0,RU,1552594179,88,52.25,79.17,27.52,10.36
455,Macau,64,BR,1552594117,96,-5.11,-36.64,77.51,2.53
456,Mazagao,75,BR,1552593600,79,-0.12,-51.29,84.2,13.87
457,Killybegs,75,IE,1552594024,93,54.63,-8.45,44.6,14.99
458,Russell,40,AR,1552590000,37,-33.01,-68.8,84.2,6.93
459,Chahuites,44,MX,1552594180,65,16.29,-94.19,85.43,8.68
460,Banda Aceh,20,ID,1552594180,98,5.56,95.32,73.28,2.3
461,Iralaya,40,HN,1552590000,70,15.0,-83.23,84.2,5.82
462,Ola,0,RU,1552594180,100,59.58,151.3,2.63,5.44
463,Parabel,76,RU,1552594180,95,58.71,81.5,33.32,6.22
464,Padilla,75,CO,1552590000,65,3.23,-76.31,80.6,6.93
465,Nauta,12,PE,1552594180,92,-4.51,-73.58,80.62,8.68
466,Kawalu,76,ID,1552594181,97,-7.38,108.21,68.6,2.08
467,Saurimo,12,AO,1552594181,86,-9.66,20.4,70.09,2.64
468,Saint-Augustin,75,FR,1552594157,87,44.83,-0.61,52.0,14.99
469,Inta,0,RU,1552594181,64,66.04,60.13,3.22,2.3
470,Kantang,0,TH,1552594181,99,7.42,99.52,79.54,7.34
471,Taylorville,75,US,1552594112,58,39.55,-89.29,59.0,34.45
472,Mogadishu,0,SO,1552594182,97,2.04,45.34,81.92,19.3
473,Soe,92,EE,1552594144,86,57.91,26.05,37.99,10.29
474,Iwanai,88,JP,1552594182,100,42.97,140.51,31.97,3.98
475,Fereydunshahr,56,IR,1552593992,83,32.94,50.12,19.19,2.3
476,Actopan,0,MX,1552594182,32,20.27,-98.94,81.07,5.66
477,Antropovo,20,RU,1552594174,68,55.25,37.65,32.0,13.42
478,Tumut,44,AU,1552594182,90,-35.3,148.22,54.34,2.53
479,Khandagayty,0,MN,1552594182,63,50.73,92.07,13.52,3.65
480,Ahipara,80,NZ,1552593750,100,-35.17,173.16,64.99,7.23
481,Lensk,80,RU,1552594183,82,60.71,114.91,20.18,2.75
482,Belaya Gora,56,RU,1552594183,46,68.54,146.19,-15.87,2.64
483,Norden,75,DE,1552594129,81,53.59,7.21,46.0,21.92
484,Shubarkuduk,0,KZ,1552594183,84,49.15,56.49,21.53,12.71
485,Zhanaozen,12,KZ,1552594183,51,43.35,52.85,39.17,14.27
486,Puerto Narino,40,CO,1552593600,56,-3.77,-70.38,93.2,6.93
487,Sistranda,75,NO,1552594170,100,63.73,8.83,37.99,5.82
488,Hornepayne,80,CA,1552594184,97,49.22,-84.78,45.02,9.24
489,Taseyevo,80,RU,1552594184,91,57.22,94.9,31.88,5.21
490,Swift Current,75,CA,1552592460,80,50.29,-107.8,30.2,18.34
491,Xuddur,0,SO,1552594184,43,4.12,43.89,76.52,9.57
492,Marsa Matruh,0,EG,1552590000,93,31.35,27.25,53.6,3.36
493,Kirakira,0,SB,1552594184,98,-10.46,161.92,84.4,5.66
494,Vire,90,FR,1552593612,93,48.84,-0.89,55.0,21.92
495,Flin Flon,75,CA,1552590000,58,54.77,-101.88,30.2,11.41
496,Alenquer,75,BR,1552590000,83,-1.95,-54.74,84.2,3.36
497,Kingaroy,92,AU,1552590000,100,-26.54,151.84,64.4,6.67
498,Longjiang,32,CN,1552594185,42,47.33,123.18,22.97,9.91
499,Merauke,48,ID,1552594185,100,-8.49,140.4,77.06,11.03
500,Jumla,92,NP,1552594186,100,29.28,82.18,26.84,1.86
501,Cayenne,92,GF,1552591800,83,4.94,-52.33,80.6,6.93
502,Vardo,1,US,1552593932,31,39.62,-77.74,75.99,13.87
503,Seoul,75,KR,1552593000,86,37.57,126.98,41.0,1.12
504,Qaqortoq,75,GL,1552589400,73,60.72,-46.03,21.2,8.05
505,Tamiahua,20,MX,1552594186,87,21.28,-97.45,79.9,6.44
506,Petropavlovsk-Kamchatskiy,8,RU,1552591800,78,53.05,158.65,10.4,6.71
507,Aswan,0,EG,1552594087,60,24.09,32.9,52.9,2.75
508,Muriwai Beach,92,NZ,1552594096,93,-36.82,174.45,71.01,3.36
509,Vila do Maio,0,CV,1552594187,87,15.13,-23.22,74.36,11.81
510,Rohnert Park,1,US,1552594065,36,38.34,-122.7,69.01,4.21
511,Jardim,56,BR,1552594187,91,-21.48,-56.15,79.04,3.31
512,Herat,0,AF,1552590000,30,34.35,62.22,59.0,10.29
513,Zaplavnoye,0,RU,1552591800,74,48.7,45.02,30.2,11.18
514,Santa Ana,75,SV,1552593906,43,13.99,-89.56,87.8,10.29
515,Humberto de Campos,64,BR,1552594189,98,-2.6,-43.46,80.84,7.45
516,Kurumkan,68,RU,1552594189,94,54.33,110.32,12.35,1.74
517,Polunochnoye,92,RU,1552594189,80,60.87,60.43,22.61,12.03
518,Sao Jose da Coroa Grande,68,BR,1552594189,90,-8.9,-35.15,80.12,8.12
519,Kampot,20,KH,1552591800,94,10.62,104.18,77.0,2.24
520,Tucumcari,90,US,1552593618,34,35.17,-103.73,48.2,13.87
521,Shamsabad,0,IN,1552594189,85,27.02,78.12,60.05,4.99
522,Madang,68,PG,1552594189,100,-5.21,145.81,73.19,4.54
523,Muisne,40,EC,1552590000,83,0.61,-80.02,82.4,6.93
524,Lufilufi,75,WS,1552590000,94,-13.87,-171.6,77.0,4.7
525,Pontianak,68,ID,1552594190,99,-0.02,109.34,76.88,3.42
526,Talaya,0,RU,1552593925,69,55.79,84.89,35.6,8.95
527,Georgiyevka,56,RU,1552594190,88,52.25,40.45,23.74,10.13
528,Coruripe,80,BR,1552594190,100,-10.12,-36.18,81.2,10.92
529,Alofi,68,NU,1552590000,88,-19.06,-169.92,77.0,5.82
530,Malanje,48,AO,1552594191,95,-9.54,16.35,67.84,3.42
531,Ucluelet,90,CA,1552593440,93,48.94,-125.55,43.0,10.29
532,Ostrovnoy,0,RU,1552594191,84,68.05,39.51,17.66,19.98
533,Matamoros,90,US,1552594116,88,25.87,-97.51,77.0,16.11
534,Constitucion,5,MX,1552593615,13,23.99,-104.67,77.0,8.05
535,Shelburne,40,CA,1552593961,81,44.08,-80.2,45.0,10.29
536,Careiro da Varzea,40,BR,1552593600,62,-3.2,-59.81,89.6,5.82
537,Do Gonbadan,75,IR,1552590000,47,30.36,50.8,59.0,11.41
538,Sharjah,0,AE,1552592654,25,25.36,55.39,79.0,9.17
539,Huarmey,8,PE,1552594191,52,-10.07,-78.15,79.4,3.42
540,Marfino,40,RU,1552594174,89,56.07,37.56,32.0,8.95
541,Chernyshevsk,48,RU,1552594192,69,52.51,117.01,5.06,4.54
542,Serra Talhada,64,BR,1552594192,87,-7.99,-38.29,75.98,3.09
543,Bemidji,90,US,1552594162,94,47.48,-94.89,34.0,16.11
544,Kimbe,92,PG,1552594192,100,-5.56,150.15,75.17,2.53
545,Mago,64,RU,1552594193,83,53.27,140.15,14.33,2.08
546,Puerto Rico,0,PY,1552594193,74,-26.82,-55.03,80.03,2.19
547,Fort Nelson,75,CA,1552590000,54,58.81,-122.69,28.4,3.2
548,Manzanillo,12,CU,1552594193,91,20.34,-77.12,82.46,5.66
549,Vilya,0,RU,1552594193,78,55.25,42.21,14.29,8.23
550,Mughal Sarai,40,IN,1552591800,68,25.28,83.13,71.6,7.9
551,Hamilton,90,CA,1552594105,81,43.26,-79.87,50.0,3.36
552,Qandala,0,SO,1552594195,83,11.47,49.87,68.69,3.76
553,Jaisalmer,0,IN,1552594054,83,26.91,70.91,54.02,3.31
554,Pontes e Lacerda,0,BR,1552594195,72,-15.23,-59.33,87.41,3.42
555,Labytnangi,0,RU,1552594195,74,66.66,66.39,5.74,9.91
